operator,new
Edward G. Miller,edward_g_miller
North Star Coal Co.,north_star_coal
"J.M. Hall & J.M. Hall Jr., Inc.",hall_jr
Morvin Coal & Development Co.,morvin_coal_development
George Work,george_work
"Boyer & Vinoverski, Inc.",boyer_vinoverski
Smithfield Construction Co.,smithfield_construction
Clyde D & Dale M. Wolcott,clyde_d_dale_m_wolcott
North Star Coal Co.,north_star_coal
Marino Natali,marino_natali
Rathgeb & Gorr,rathgeb_gorr
Superior Coal Co.,superior_coal
Kenallen Coal Co.,kenallen_coal
John C. Beaumont,john_c_beaumont
"Jem Coal & Coke Co., Inc.",jem_coal_coke
Smith & Wise Coal Co.,smith_wise_coal
Albert L. Nahar,albert_l_nahar
John Kapusta,john_kapusta
C. F. Eckert,c_f_eckert
Hyman Weinberg,hyman_weinberg
C. M. Harasty,c_m_harasty
United States Steel Corp.,united_states_steel
R. Gene Headlee,r_gene_headlee
William Piccolomini Coal Co.,william_piccolomini_coal
Harvey F. Gaskill,harvey_f_gaskill
Leda E. Smith,leda_e_smith
"A & C Coal Co., Inc.",a_c_coal
Clarence E. Moore,clarence_e_moore
Fayette Fuel Co.,fayette_fuel
Joseph Vizza,joseph_vizza
Menallen Coke Co.,menallen_coke
Frank D. Mosser,frank_d_mosser
Love Coal Co.,love_coal
Fred Zeglin,fred_zeglin
G & J Fuel Co.,g_j_fuel
"Mar Dee Coal Sales, Inc.",mar_dee_coal_sales
Helm Coal Co.,helm_coal
Louis Partazana,louis_partazana
Joseph Vizza,joseph_vizza
Lewis Hutchinson,lewis_hutchinson
George Byers,george_byers
Stanley Newill,stanley_newill
Helm Coal Co.,helm_coal
"Bortz Coal Co., Inc.",bortz_coal
Maglich Coal Co.,maglich_coal
Charles W. Ewing,charles_w_ewing
Vento & White,vento_white
Rathgeb & Gorr,rathgeb_gorr
H. E. Fox,h_e_fox
Sabatine Coal Co.,sabatine_coal
Lucas Coal Co.,lucas_coal
Fiore Contracting Co.,fiore_contracting
Adam Evans Coal Co.,adam_evans_coal
United States Steel Corp.,united_states_steel
United States Steel Corp.,united_states_steel
Jacob Rupnik Jr.,jacob_rupnik_jr
Ulishney Fuel Co.,ulishney_fuel
C. F. Eckert,c_f_eckert
Louis E. Genovese,louis_e_genovese
Clarence E. Moore,clarence_e_moore
William Horton,william_horton
Fred Allen,fred_allen
Hyman Weinberg,hyman_weinberg
Carr Mining Co.,carr_mining
Steve Krulock,steve_krulock
Richland Coal & Construction Co.,richland_coal_construction
Govora Coal Co.,govora_coal
John J. Puskar,john_j_puskar
Stanley T. Bartins,stanley_t_bartins
Stanley T. Bartins,stanley_t_bartins
Lucas Coal Co.,lucas_coal
Earl Ansell,earl_ansell
Monongahela Enterprises Inc.,monongahela_enterprises
Babich Brothers,babich_brothers
Ford & Gaskill,ford_gaskill
Daset Mining Corp.,daset_mining
Rely Coal Co.,rely_coal
Rely Coal Co.,rely_coal
"Castell Coal Co., Inc.",castell_coal
E.P. Bender Coal Co.,ep_bender_coal
Zeglin Coal Co.,zeglin_coal
"J.M. Hall & J.M. Hall Jr., Inc.",hall_jr
Robert Hough,robert_hough
Blank Coal Co.,blank_coal
Spangler Coal Co.,spangler_coal
"J.M. Hall & J.M. Hall Jr., Inc.",hall_jr
Valentine & Tassone Coal Co.,valentine_tassone_coal
Armando Rupani,armando_rupani
F.E. Adams Trucking Co.,fe_adams_trucking
"Rush Coal Co., Inc.",rush_coal
"Yough Valley Mining Co., Inc.",yough_valley_mining
"J.M. Hall & J.M. Hall, Jr., Inc.",hall_jr
Fayette Fuel Co.,fayette_fuel
Knish & Dzura Coal Co.,knish_dzura_coal
Joseph Christoff,joseph_christoff
Anderson Coal Co.,anderson_coal
Summit Construction Co.,summit_construction
"Deep Valley Coal Co., Inc.",deep_valley_coal
Victo Lagnemma,victo_lagnemma
Blair Spangler,blair_spangler
Twilite Coal Co.,twilite_coal
Charles Kravetsky,charles_kravetsky
Marshall J. Simpson,marshall_j_simpson
P & S Coal Co.,p_s_coal
"Eighty Four Industries, Inc.",eighty_four_industries
Greensburg Connellsville Coal & Coke Co.,greensburg_connellsville_coal_coke
"Bortz Coal Co., Inc.",bortz_coal
"S.B. & S. Coal Co., Inc.",sb_s_coal
J.C. McDivitt,jc_mcdivitt
Daset Mining Corp.,daset_mining
Peter Paulsick,peter_paulsick
Brownfield Brothes Coal Co.,brownfield_brothes_coal
Ruschell Coal Co.,ruschell_coal
W.F. Marshall,wf_marshall
Charles Brown,charles_brown
Brownfield Brothes Coal Co.,brownfield_brothes_coal
Carlo Teodori,carlo_teodori
Pennweir Construction Co.,pennweir_construction
Bologna Mining Co.,bologna_mining
Latimer Brothers,latimer_brothers
B & R Contracting Co,b_r_contracting
William V. Barrier,william_v_barrier
James Nastasi,james_nastasi
Jack Smith,jack_smith
Haynie Coal Co.,haynie_coal
Charles W. Ewing,charles_w_ewing
Toth Construction Co.,toth_construction
McElhaney & Logan,mcelhaney_logan
Greensburg Connellsville Coal & Coke Co.,greensburg_connellsville_coal_coke
Pennweir Construction Co.,pennweir_construction
"Snowden Coal Co., Inc.",snowden_coal
"Joseph Koracin, Jr.",joseph_koracin_jr
Kay Coal Mining Co.,kay_coal_mining
Menallen Coke Co.,menallen_coke
Conrad Coal Co.,conrad_coal
Haynie Coal Co.,haynie_coal
Soberdash Coal & Coke Co.,soberdash_coal_coke
Clarence W. Thomas,clarence_w_thomas
J.D. Reed,jd_reed
Charles E. Brown,charles_e_brown
Ralph R. Galetti,ralph_r_galetti
Zeglin Coal Co.,zeglin_coal
George Malinish,george_malinish
C.L. Rosensteel,cl_rosensteel
Charles Kravetsky,charles_kravetsky
"Dependable Coal & Construction Co., Inc.",dependable_coal_construction
Nick Garin,nick_garin
M.C. Arnoni Co.,mc_arnoni
"Spec Coals, Inc.",spec_coals
The Rondell Co.,the_rondell
Star Coal Co.,star_coal
Greensburg Connellsville Coal & Coke Co.,greensburg_connellsville_coal_coke
Soberdash Coal & Coke Co.,soberdash_coal_coke
Haynie Coal Co.,haynie_coal
Pennweir Construction Co.,pennweir_construction
P. & L. Coal Co.,p_l_coal
Estate of Mike Mazzaro,estate_of_mike_mazzaro
"Clearview Mining Associates, Inc.",clearview_mining_associates
"Clearview Mining Associates, Inc.",clearview_mining_associates
"Gratty,Gower & Hyduke, Inc.",grattygower_hyduke
Henry Palko,henry_palko
Henry Palko,henry_palko
Playford Matthews-Richard Patric,playford_matthewsrichard_patric
Playford Matthews - Richard Patrick,playford_matthews_richard_patrick
Haynie Coal Mining Co.,haynie_coal_mining
Marvin Coal & Development Co.,marvin_coal_development
J.A. Hill Coal,ja_hill_coal
Charles Bemini & Walter J. Lyda,charles_bemini_walter_j_lyda
"Gratty, Gower & Hyduke, Inc.",gratty_gower_hyduke
Pittsburgh Coal Co.,pittsburgh_coal
Pittsburgh Construction Coal Co.,pittsburgh_construction_coal
Chynowith & Bucci,chynowith_bucci
Kenallen Coal Co.,kenallen_coal
Albert P. & August R. Stefkovich,albert_p_august_r_stefkovich
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
Sanbrac Coal Co.,sanbrac_coal
"Mullett Coal Co., Inc.",mullett_coal
Muller Coal Co.,muller_coal
Muller Coal Co.,muller_coal
"Mullett Coal Co., Inc.",mullett_coal
Muller Coal Co.,muller_coal
M. & I. Corp.,m_i
Ulishney Fuel Co.,ulishney_fuel
C.W. Dillon,cw_dillon
